Year,Region,Civilians killed
2001,Australasia & Oceania,0
2001,Australasia & Oceania,0
2001,Australasia & Oceania,0
2001,Australasia & Oceania,0
2002,Australasia & Oceania,
2002,Australasia & Oceania,1
2003,Australasia & Oceania,1
2003,Australasia & Oceania,0
2003,Australasia & Oceania,0
2003,Australasia & Oceania,0
2006,Australasia & Oceania,0
2006,Australasia & Oceania,0
2007,Australasia & Oceania,0
2008,Australasia & Oceania,0
2008,Australasia & Oceania,0
2008,Australasia & Oceania,0
2008,Australasia & Oceania,0
2008,Australasia & Oceania,0
2008,Australasia & Oceania,0
2008,Australasia & Oceania,0
2008,Australasia & Oceania,0
2009,Australasia & Oceania,0
2010,Australasia & Oceania,0
2001,Central America & Caribbean,0
2001,Central America & Caribbean,0
2001,Central America & Caribbean,0
2001,Central America & Caribbean,0
2001,Central America & Caribbean,0
2001,Central America & Caribbean,1
2001,Central America & Caribbean,0
2001,Central America & Caribbean,1
2002,Central America & Caribbean,0
2002,Central America & Caribbean,0
2002,Central America & Caribbean,0
2003,Central America & Caribbean,0
2003,Central America & Caribbean,1
2003,Central America & Caribbean,0
2003,Central America & Caribbean,4
2003,Central America & Caribbean,0
2003,Central America & Caribbean,0
2003,Central America & Caribbean,0
2003,Central America & Caribbean,0
2004,Central America & Caribbean,1
2004,Central America & Caribbean,6
2004,Central America & Caribbean,1
2004,Central America & Caribbean,2
2004,Central America & Caribbean,28
2005,Central America & Caribbean,0
2005,Central America & Caribbean,0
2005,Central America & Caribbean,1
2006,Central America & Caribbean,2
2006,Central America & Caribbean,1
2006,Central America & Caribbean,2
2006,Central America & Caribbean,1
2006,Central America & Caribbean,1
2007,Central America & Caribbean,1
2007,Central America & Caribbean,1
2007,Central America & Caribbean,0
2007,Central America & Caribbean,0
2009,Central America & Caribbean,1
2009,Central America & Caribbean,0
2009,Central America & Caribbean,0
2009,Central America & Caribbean,0
2009,Central America & Caribbean,0
2009,Central America & Caribbean,0
2009,Central America & Caribbean,2
2009,Central America & Caribbean,0
2009,Central America & Caribbean,0
2010,Central America & Caribbean,0
2011,Central America & Caribbean,2
2012,Central America & Caribbean,2
2001,Central Asia,0
2001,Central Asia,0
2001,Central Asia,2
2001,Central Asia,4
2001,Central Asia,0
2001,Central Asia,0
2001,Central Asia,1
2001,Central Asia,4
2001,Central Asia,1
2001,Central Asia,
2001,Central Asia,0
2001,Central Asia,0
2001,Central Asia,0
2001,Central Asia,1
2001,Central Asia,0
2001,Central Asia,1
2001,Central Asia,1
2001,Central Asia,1
2002,Central Asia,1
2002,Central Asia,0
2002,Central Asia,0
2002,Central Asia,2
2002,Central Asia,0
2002,Central Asia,0
2003,Central Asia,0
2003,Central Asia,0
2003,Central Asia,1
2003,Central Asia,0
2003,Central Asia,0
2003,Central Asia,0
2003,Central Asia,0
2004,Central Asia,6
2004,Central Asia,23
2004,Central Asia,0
2004,Central Asia,3
2004,Central Asia,2
2004,Central Asia,2
2004,Central Asia,0
2004,Central Asia,0
2005,Central Asia,3
2005,Central Asia,0
2005,Central Asia,0
2005,Central Asia,0
2005,Central Asia,1
2005,Central Asia,9
2005,Central Asia,5
2005,Central Asia,0
2005,Central Asia,0
2005,Central Asia,0
2005,Central Asia,0
2006,Central Asia,0
2006,Central Asia,0
2006,Central Asia,1
2006,Central Asia,2
2006,Central Asia,2
2006,Central Asia,1
2007,Central Asia,0
2007,Central Asia,0
2007,Central Asia,0
2007,Central Asia,1
2008,Central Asia,0
2008,Central Asia,2
2008,Central Asia,2
2008,Central Asia,0
2008,Central Asia,0
2008,Central Asia,0
2008,Central Asia,0
2008,Central Asia,0
2008,Central Asia,0
2008,Central Asia,0
2008,Central Asia,0
2008,Central Asia,0
2008,Central Asia,0
2008,Central Asia,0
2008,Central Asia,0
2008,Central Asia,1
2008,Central Asia,0
2008,Central Asia,0
2008,Central Asia,0
2008,Central Asia,4
2008,Central Asia,0
2008,Central Asia,1
2008,Central Asia,0
2008,Central Asia,0
2008,Central Asia,0
2008,Central Asia,1
2008,Central Asia,0
2008,Central Asia,3
2008,Central Asia,2
2008,Central Asia,2
2008,Central Asia,0
2008,Central Asia,0
2008,Central Asia,2
2008,Central Asia,0
2008,Central Asia,0
2008,Central Asia,0
2009,Central Asia,0
2009,Central Asia,1
2009,Central Asia,0
2009,Central Asia,1
2009,Central Asia,0
2009,Central Asia,0
2009,Central Asia,0
2009,Central Asia,1
2009,Central Asia,0
2009,Central Asia,0
2009,Central Asia,0
2009,Central Asia,0
2009,Central Asia,1
2009,Central Asia,2
2009,Central Asia,0
2009,Central Asia,0
2009,Central Asia,0
2009,Central Asia,0
2009,Central Asia,
2009,Central Asia,0
2009,Central Asia,1
2009,Central Asia,0
2009,Central Asia,1
2009,Central Asia,0
2009,Central Asia,0
2009,Central Asia,2
2009,Central Asia,0
2009,Central Asia,0
2009,Central Asia,0
2009,Central Asia,0
2009,Central Asia,0
2010,Central Asia,2
2010,Central Asia,0
2010,Central Asia,0
2010,Central Asia,0
2010,Central Asia,4
2010,Central Asia,0
2010,Central Asia,1
2010,Central Asia,1
2010,Central Asia,0
2011,Central Asia,0
2011,Central Asia,0
2011,Central Asia,1
2011,Central Asia,1
2011,Central Asia,0
2011,Central Asia,1
2011,Central Asia,2
2011,Central Asia,8
2011,Central Asia,0
2012,Central Asia,0
2012,Central Asia,1
2012,Central Asia,0
2012,Central Asia,0
2012,Central Asia,1
2012,Central Asia,0
2012,Central Asia,1
2012,Central Asia,0
2012,Central Asia,0
2012,Central Asia,2
2012,Central Asia,1
2012,Central Asia,0
2001,East Asia,0
2001,East Asia,0
2001,East Asia,0
2001,East Asia,0
2001,East Asia,2
2001,East Asia,0
2001,East Asia,0
2001,East Asia,0
2001,East Asia,0
2001,East Asia,0
2001,East Asia,1
2001,East Asia,1
2001,East Asia,1
2001,East Asia,0
2001,East Asia,0
2001,East Asia,0
2001,East Asia,2
2001,East Asia,0
2001,East Asia,2
2002,East Asia,0
2002,East Asia,0
2002,East Asia,0
2002,East Asia,1
2003,East Asia,0
2003,East Asia,1
2003,East Asia,0
2003,East Asia,0
2003,East Asia,0
2003,East Asia,0
2004,East Asia,2
2004,East Asia,0
2004,East Asia,2
2004,East Asia,0
2005,East Asia,12
2005,East Asia,0
2006,East Asia,0
2008,East Asia,0
2008,East Asia,1
2008,East Asia,2
2008,East Asia,0
2008,East Asia,0
2008,East Asia,3
2008,East Asia,1
2008,East Asia,0
2008,East Asia,1
2008,East Asia,2
2008,East Asia,0
2008,East Asia,16
2008,East Asia,2
2008,East Asia,0
2008,East Asia,3
2008,East Asia,3
2008,East Asia,2
2008,East Asia,0
2008,East Asia,0
2008,East Asia,2
2008,East Asia,0
2008,East Asia,1
2008,East Asia,0
2008,East Asia,0
2008,East Asia,0
2009,East Asia,0
2009,East Asia,0
2009,East Asia,1
2009,East Asia,1
2009,East Asia,0
2009,East Asia,0
2009,East Asia,184
2009,East Asia,
2010,East Asia,7
2011,East Asia,0
2011,East Asia,8
2011,East Asia,11
2011,East Asia,0
2012,East Asia,22
2012,East Asia,4
2012,East Asia,0
2012,East Asia,1
2001,Eastern Europe,0
2001,Eastern Europe,1
2001,Eastern Europe,0
2001,Eastern Europe,1
2001,Eastern Europe,3
2001,Eastern Europe,2
2001,Eastern Europe,3
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,9
2001,Eastern Europe,1
2001,Eastern Europe,
2001,Eastern Europe,
2001,Eastern Europe,1
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,1
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,1
2001,Eastern Europe,1
2001,Eastern Europe,3
2001,Eastern Europe,10
2001,Eastern Europe,0
2001,Eastern Europe,3
2001,Eastern Europe,0
2001,Eastern Europe,
2001,Eastern Europe,0
2001,Eastern Europe,4
2001,Eastern Europe,2
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,1
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,9
2001,Eastern Europe,0
2001,Eastern Europe,1
2001,Eastern Europe,1
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,2
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,18
2001,Eastern Europe,0
2001,Eastern Europe,2
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,14
2001,Eastern Europe,0
2001,Eastern Europe,1
2001,Eastern Europe,1
2001,Eastern Europe,0
2001,Eastern Europe,2
2001,Eastern Europe,1
2001,Eastern Europe,1
2001,Eastern Europe,0
2001,Eastern Europe,2
2001,Eastern Europe,6
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,8
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,1
2001,Eastern Europe,0
2001,Eastern Europe,2
2001,Eastern Europe,2
2001,Eastern Europe,0
2001,Eastern Europe,3
2001,Eastern Europe,0
2001,Eastern Europe,2
2001,Eastern Europe,0
2001,Eastern Europe,1
2001,Eastern Europe,0
2001,Eastern Europe,1
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,2
2001,Eastern Europe,1
2001,Eastern Europe,2
2001,Eastern Europe,0
2001,Eastern Europe,1
2001,Eastern Europe,1
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,1
2001,Eastern Europe,1
2001,Eastern Europe,0
2001,Eastern Europe,2
2001,Eastern Europe,0
2001,Eastern Europe,3
2001,Eastern Europe,12
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,11
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,1
2001,Eastern Europe,1
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,1
2001,Eastern Europe,1
2001,Eastern Europe,6
2001,Eastern Europe,0
2001,Eastern Europe,1
2001,Eastern Europe,0
2001,Eastern Europe,2
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,1
2001,Eastern Europe,1
2001,Eastern Europe,0
2001,Eastern Europe,1
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,1
2001,Eastern Europe,0
2001,Eastern Europe,6
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,5
2001,Eastern Europe,0
2001,Eastern Europe,1
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,2
2001,Eastern Europe,3
2001,Eastern Europe,3
2001,Eastern Europe,3
2001,Eastern Europe,1
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,1
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,3
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,4
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,2
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,1
2001,Eastern Europe,0
2001,Eastern Europe,
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,2
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,1
2001,Eastern Europe,0
2001,Eastern Europe,2
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,1
2001,Eastern Europe,0
2001,Eastern Europe,1
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,1
2001,Eastern Europe,0
2001,Eastern Europe,1
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,9
2001,Eastern Europe,1
2001,Eastern Europe,1
2001,Eastern Europe,7
2001,Eastern Europe,2
2001,Eastern Europe,4
2001,Eastern Europe,2
2001,Eastern Europe,0
2001,Eastern Europe,5
2001,Eastern Europe,0
2001,Eastern Europe,6
2001,Eastern Europe,0
2001,Eastern Europe,3
2001,Eastern Europe,0
2001,Eastern Europe,4
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,2
2001,Eastern Europe,
2001,Eastern Europe,2
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,4
2001,Eastern Europe,4
2001,Eastern Europe,0
2001,Eastern Europe,3
2001,Eastern Europe,2
2001,Eastern Europe,1
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,2
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,0
2001,Eastern Europe,4
2002,Eastern Europe,0
2002,Eastern Europe,15
2002,Eastern Europe,0
2002,Eastern Europe,0
2002,Eastern Europe,0
2002,Eastern Europe,1
2002,Eastern Europe,5
2002,Eastern Europe,2
2002,Eastern Europe,3
2002,Eastern Europe,0
2002,Eastern Europe,0
2002,Eastern Europe,0
2002,Eastern Europe,1
2002,Eastern Europe,1
2002,Eastern Europe,0
2002,Eastern Europe,2
2002,Eastern Europe,7
2002,Eastern Europe,0
2002,Eastern Europe,0
2002,Eastern Europe,1
2002,Eastern Europe,14
2002,Eastern Europe,0
2002,Eastern Europe,1
2002,Eastern Europe,5
2002,Eastern Europe,1
2002,Eastern Europe,0
2002,Eastern Europe,0
2002,Eastern Europe,0
2002,Eastern Europe,0
2002,Eastern Europe,0
2002,Eastern Europe,0
2002,Eastern Europe,0
2002,Eastern Europe,
2002,Eastern Europe,3
2002,Eastern Europe,3
2002,Eastern Europe,1
2002,Eastern Europe,0
2002,Eastern Europe,0
2002,Eastern Europe,3
2002,Eastern Europe,1
2002,Eastern Europe,0
2002,Eastern Europe,3
2002,Eastern Europe,17
2002,Eastern Europe,9
2002,Eastern Europe,0
2002,Eastern Europe,43
2002,Eastern Europe,0
2002,Eastern Europe,2
2002,Eastern Europe,0
2002,Eastern Europe,1
2002,Eastern Europe,0
2002,Eastern Europe,0
2002,Eastern Europe,1
2002,Eastern Europe,1
2002,Eastern Europe,5
2002,Eastern Europe,0
2002,Eastern Europe,0
2002,Eastern Europe,2
2002,Eastern Europe,9
2002,Eastern Europe,2
2002,Eastern Europe,0
2002,Eastern Europe,1
2002,Eastern Europe,3
2002,Eastern Europe,0
2002,Eastern Europe,1
2002,Eastern Europe,5
2002,Eastern Europe,3
2002,Eastern Europe,2
2002,Eastern Europe,0
2002,Eastern Europe,0
2002,Eastern Europe,0
2002,Eastern Europe,0
2002,Eastern Europe,1
2002,Eastern Europe,0
2002,Eastern Europe,2
2002,Eastern Europe,0
2002,Eastern Europe,0
2002,Eastern Europe,11
2002,Eastern Europe,2
2002,Eastern Europe,0
2002,Eastern Europe,1
2002,Eastern Europe,4
2002,Eastern Europe,0
2002,Eastern Europe,0
2002,Eastern Europe,5
2002,Eastern Europe,2
2002,Eastern Europe,0
2002,Eastern Europe,0
2002,Eastern Europe,1
2002,Eastern Europe,1
2002,Eastern Europe,2
2002,Eastern Europe,2
2002,Eastern Europe,0
2002,Eastern Europe,0
2002,Eastern Europe,0
2002,Eastern Europe,0
2002,Eastern Europe,18
2002,Eastern Europe,1
2002,Eastern Europe,24
2002,Eastern Europe,1
2002,Eastern Europe,170
2002,Eastern Europe,0
2002,Eastern Europe,0
2002,Eastern Europe,9
2002,Eastern Europe,3
2002,Eastern Europe,0
2002,Eastern Europe,17
2002,Eastern Europe,4
2002,Eastern Europe,0
2002,Eastern Europe,0
2002,Eastern Europe,0
2002,Eastern Europe,57
2003,Eastern Europe,2
2003,Eastern Europe,3
2003,Eastern Europe,0
2003,Eastern Europe,2
2003,Eastern Europe,0
2003,Eastern Europe,1
2003,Eastern Europe,1
2003,Eastern Europe,1
2003,Eastern Europe,2
2003,Eastern Europe,0
2003,Eastern Europe,0
2003,Eastern Europe,0
2003,Eastern Europe,0
2003,Eastern Europe,0
2003,Eastern Europe,2
2003,Eastern Europe,0
2003,Eastern Europe,0
2003,Eastern Europe,0
2003,Eastern Europe,0
2003,Eastern Europe,0
2003,Eastern Europe,0
2003,Eastern Europe,0
2003,Eastern Europe,1
2003,Eastern Europe,2
2003,Eastern Europe,0
2003,Eastern Europe,0
2003,Eastern Europe,1
2003,Eastern Europe,0
2003,Eastern Europe,0
2003,Eastern Europe,
2003,Eastern Europe,0
2003,Eastern Europe,0
2003,Eastern Europe,0
2003,Eastern Europe,0
2003,Eastern Europe,1
2003,Eastern Europe,0
2003,Eastern Europe,0
2003,Eastern Europe,0
2003,Eastern Europe,0
2003,Eastern Europe,0
2003,Eastern Europe,0
2003,Eastern Europe,
2003,Eastern Europe,0
2003,Eastern Europe,0
2003,Eastern Europe,0
2003,Eastern Europe,0
2003,Eastern Europe,5
2003,Eastern Europe,8
